date,intraday_sentiment_index,overnight_sentiment_index,open,high,low,close,volume
2026-05-18,0,-0.2497491645,191000,194500,184100,190400,577686
2026-05-19,0,-0.811166059604,192000,196600,181500,182400,580567
2026-05-20,0,0,181000,182800,174900,176700,557955
2026-05-21,0,0.0479502600344,183700,199400,182100,195000,560937
2026-05-22,0,0.254623577747,200000,219750,200000,216000,1141061
2026-05-26,0,0.00223055461902,225000,235500,218000,220000,920419
2026-05-27,0,0.324909594434,218000,227500,213000,213500,659252
2026-05-28,0,0,222500,223000,206500,218500,771344
2026-05-29,0,0,217500,217500,210000,217000,1318811
2026-06-01,0,0.00030394661735,215000,215000,205000,207000,662016
2026-06-02,0,0,203500,218000,197900,198000,867237
2026-06-04,0,0,201500,209000,196200,197400,656199
2026-06-05,0,-0.37143810951,197500,198000,180100,180100,772457
2026-06-08,-0.0823627250522,-0.339696476642,170000,171400,158500,159700,651414
2026-06-09,-0.00295537814336,-0.0624221401658,161900,171800,160500,167600,663769
2026-06-10,-0.0624425799248,-0.0399847839862,166000,172700,161000,164500,536210
2026-06-11,-0.0203573498455,-0.157971157244,159900,164300,155500,164300,898577
2026-06-12,-0.0174974323797,-0.0326557553451,172200,178600,168100,170000,642248
2026-06-15,-0.0391259883012,-0.00369680269093,178400,186500,176900,186500,510682
2026-06-16,-0.0860907306368,-0.0137763841153,185900,186400,179100,179500,472518
2026-06-17,-0.126774387511,-0.0371925929866,182600,183100,177000,180000,361009
2026-06-18,-0.00218395128887,0.077185775391,178300,179400,170200,172300,516097
2026-06-19,-0.043093323214,0.0216797872263,171400,175600,164700,169400,905391
2026-06-22,-0.0649282383455,-0.12301176172,169400,171500,162600,166700,480379
2026-06-23,-0.167515899578,0.0885642187612,165400,170800,150400,150900,683987
2026-06-24,-0.0328126843054,-0.136950431759,150200,156500,146000,152500,521863
2026-06-25,0.0123936669388,0.0141504943609,152200,156200,142900,144000,536834
2026-06-26,-0.170133996059,-0.108659490139,142300,143900,129600,133700,797620
2026-06-29,0.00740444247354,-0.133892265032,133000,156500,132400,154500,952726
2026-06-30,-0.108973220387,-0.0391629956823,154600,154600,142500,142500,984155
2026-07-01,-0.108831854207,-0.0987417392044,134300,142500,129500,132700,1507199
2026-07-02,-0.239661672792,-0.104024365376,129800,130800,122600,125500,661857
2026-07-03,-0.122950087378,-0.267690069834,123000,125300,115300,124400,581378
2026-07-06,-0.0747592723096,-0.0090260710845,124500,125200,117300,121700,388813
2026-07-07,-0.21682753388,-0.244416582256,120600,125700,117500,120200,486586
2026-07-08,-0.295925100686,-0.117676203361,117500,119800,111900,112600,516352
2026-07-09,0.0497894483584,-0.150899115781,113300,117900,109400,111500,780559
2026-07-10,0.0983275175366,0.0850218118603,113800,123400,113800,121600,565475
2026-07-13,-0.214592510667,-0.0601158443212,123000,126900,117800,119800,571074
2026-07-14,-0.161271062094,-0.24960148919,118700,120700,108100,112600,494046
2026-07-15,-0.0251686679417,-0.21700939994,116100,124000,116100,120900,426284
2026-07-16,-0.395000432648,-0.0184251222175,120000,121500,111700,112400,290976
2026-07-20,-0.196064691624,-0.12894753567,109900,110600,103100,104100,314459
2026-07-21,-0.13075490746,-0.160657853382,103000,107300,101600,105900,288501
2026-07-22,0.0127396977709,0.027634295461,109500,113000,107500,107500,300529
2026-07-23,0.034440055779,-0.0170413398455,108100,118400,107000,118200,353716
2026-07-24,-0.200291968679,-0.0325811336253,114700,115200,108100,108300,308723
2026-07-27,-0.070862569136,-0.11385461337,113400,113400,108000,110500,280334
2026-07-28,-0.227792060334,-0.00465950561298,106400,107800,99600,101800,319884
2026-07-29,-0.125729795964,-0.187594315798,102300,104800,88300,92600,583750
2026-07-30,-0.0291931517155,-0.0673320186506,90300,102700,90300,96500,534615
2026-07-31,-0.0657325867047,-0.106155072916,101600,105200,98000,103500,497654
2026-08-03,-0.108640478353,-0.0704054230087,98700,100700,90400,96800,649492
2026-08-04,0.120347162488,-0.106906936305,97100,103800,97100,102500,556835
2026-08-05,-0.0538541958032,0.181738317041,105000,106200,100500,101700,454007
2026-08-06,0.00858368279441,-0.0755818036537,100400,104400,98300,102500,397836
2026-08-07,0.03568045416,-0.0226890575976,106700,111700,100600,107000,505842
2026-08-10,0.0995918572382,-0.0229596282396,107900,115400,105600,114800,477817
2026-08-11,-0.138152510864,0.0678458471865,114000,116600,108100,109800,442475
2026-08-12,0.00450254258654,0.0808712377366,110100,114400,107500,114400,297511
2026-08-13,-0.0693530759997,0.0776968317443,114800,116800,111700,114500,384619
2026-08-14,0,0.0553704661542,,,,,
