date,intraday_sentiment_index,intraday_item_count,intraday_no_posts,overnight_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-02-19,0.00273873831808,37,0,-0.0163293406199,8,0,199300,215500,197050,214000,1095763,19.3400001526,21.1100006104,19.2299995422,20.2299995422,0
2026-02-20,-0.00291957665298,15,0,-0.0422110852002,18,0,217500,217500,209000,214000,416915,20.0400009155,21.2099990845,18.7600002289,19.0900001526,0
2026-02-23,0.0260109009001,19,0,-0.0315141572322,12,0,218500,222500,207500,209500,557503,20.4899997711,22.0400009155,19.5,21.0100002289,0
2026-02-24,-0.041540652287,15,0,0.117654872676,9,0,211500,214500,207000,213500,472468,21.2399997711,22.0799999237,19.2299995422,19.5499992371,0
2026-02-25,-0.0281859685002,23,0,0.219385710478,14,0,216000,220000,210750,216000,556738,19.5900001526,19.6200008392,17.8600006104,17.9300003052,0
2026-02-26,-0.122260535823,18,0,0.0652188696987,19,0,221500,224500,214000,219500,855441,18.0699996948,20.5400009155,17.5,18.6299991608,0
2026-02-27,-0.0462668778966,22,0,-0.109765457899,22,0,214000,225000,212500,221500,786277,19.2800006866,21.7399997711,18.7700004578,19.8600006104,0
2026-03-03,-0.0200493293857,12,0,0.0648738867045,20,0,215500,224000,199500,199500,884982,24.5699996948,28.1499996185,22.1800003052,23.5699996948,0
2026-03-04,-0.00736129658948,11,0,-0.0895960804473,22,0,188200,198000,165600,165600,1517050,24.3899993896,24.8700008392,20.3999996185,21.1499996185,0
2026-03-05,-0.0738871130452,26,0,-0.0685321617143,22,0,183000,206000,183000,195400,1237046,22.1100006104,25.8400001526,20.5499992371,23.75,0
2026-03-06,-0.0719951726496,1,0,0.131975380853,12,0,194600,205500,191300,202500,655517,23.2000007629,29.9300003052,22.9200000763,29.4899997711,0
2026-03-09,0.0283531784842,19,0,-0.0335286747269,14,0,194800,206000,191000,202500,907354,35.1199989319,35.2999992371,24.7600002289,25.5,0
2026-03-10,0.0952898972837,8,0,0.114139704481,22,0,215500,215500,200000,203000,653625,24.3899993896,26.0100002289,22.1900005341,24.9300003052,0
2026-03-11,-0.113413016409,28,0,0.133772610273,11,0,205500,207000,195500,197500,507330,24.8999996185,26.2299995422,23.75,24.2299995422,0
2026-03-12,0.00245896441158,17,0,-0.191918887181,16,0,195000,200500,191600,197700,683785,25.4799995422,27.3299999237,24.6000003815,27.2900009155,0
2026-03-13,-0.0475736835942,4,0,-0.0797158500485,15,0,189000,191800,185300,191300,747253,27.8500003815,28.4699993134,24.6700000763,27.1900005341,0
2026-03-16,-0.0189040041311,21,0,0.073295146976,11,0,189700,192300,181300,187400,605477,25.8799991608,26.4200000763,23.2299995422,23.5100002289,0
2026-03-17,-0.151335640262,6,0,0.00405679713258,10,0,191300,196900,188400,193500,476351,24.5599994659,24.5799999237,21.8700008392,22.3700008392,0
2026-03-18,-9.82717716728e-05,11,0,0.115165691394,9,0,196900,197000,193500,196500,324967,21.5100002289,25.1299991608,21.4699993134,25.0900001526,0
2026-03-19,-0.0102200566519,6,0,-0.0762248299985,14,0,190200,196000,189500,189700,439588,25.6000003815,27.5200004578,23.5400009155,24.0599994659,0
2026-03-20,0.0947302563411,10,0,0.0595295696357,12,0,190800,193000,188800,191900,410787,24.4599990845,29.2800006866,23.6800003052,26.7800006866,0
2026-03-23,-0.0942029904514,19,0,-0.214297683417,20,0,183800,184300,178300,179100,461538,30.0400009155,31.0400009155,20.2800006866,26.1499996185,0
2026-03-24,0.210360796812,9,0,0.00394064199075,22,0,186800,196900,185700,193000,615748,25.9099998474,27.9400005341,25.6399993896,26.9500007629,0
2026-03-25,0.102371523019,10,0,0.241309470405,8,0,193400,204000,193200,203000,505161,25.7900009155,26.6700000763,24.8199996948,25.3299999237,0
2026-03-26,-0.0609380547268,22,0,0.110540680212,9,0,202000,207000,197400,198900,374921,26.4899997711,28.4899997711,26.1200008392,27.4400005341,0
