date,kospi_open,kospi_high,kospi_low,kospi_close,kospi_volume,kosdaq_open,kosdaq_high,kosdaq_low,kosdaq_close,kosdaq_volume,vix_open,vix_high,vix_low,vix_close,vix_volume,vkospi_open,vkospi_high,vkospi_low,vkospi_close
2026-05-14,7873.91,7991.04,7842.72,7981.41,849941546,1187.02,1194.03,1162.2,1191.09,993502642,17.86,18.08,17.2,17.26,0,72.02,74.99,70.8,72.91
2026-05-15,7951.75,8046.78,7371.68,7493.18,885626697,1197.23,1197.23,1110.16,1129.82,1093007525,18.07,19.27,17.8,18.43,0,70.55,75.93,67.01,74.71
2026-05-18,7443.29,7636.2,7142.71,7516.04,566617521,1122.57,1122.57,1071.66,1111.09,955326788,19.25,19.44,17.7,17.82,0,76.81,82.23,74.05,74.05
2026-05-19,7425.66,7446.57,7141.91,7271.66,533508766,1111.36,1122.85,1063.28,1084.36,1103760877,18.01,18.36,17.66,18.06,0,74.76,76.01,72.5,72.51
2026-05-20,7324.52,7324.52,7053.84,7208.95,492494076,1081.04,1081.04,1038.23,1056.07,1227090732,18.17,18.18,17.13,17.44,0,71.44,72.95,71.37,71.37
2026-05-21,7486.37,7819.23,7486.37,7815.59,621081744,1085.3,1115.66,1085.3,1105.97,926095732,17.58,17.87,16.6,16.76,0,70.64,72.99,68.7,71.33
2026-05-22,7873.12,7886.64,7780.13,7847.71,435533126,1119.43,1165.8,1119.43,1161.13,1027933453,16.83,17.39,16.46,16.7,0,66.86,67.38,66.25,66.97
2026-05-25,,,,,,,,,,,16.81,16.87,16.53,16.59,0,,,,
2026-05-26,8070.91,8131.15,8008.19,8047.51,519551123,1189.28,1205.12,1170.41,1172.52,1186405647,16.92,17.23,16.56,17.01,0,69.82,70.29,68.08,68.09
2026-05-27,8242.12,8457.09,8220.04,8228.7,619450559,1173.8,1173.8,1128.75,1133.13,1228978591,17.01,17.18,16.29,16.29,0,67.75,74.06,67.75,70.78
2026-05-28,8165.73,8253.6,7841.01,8185.29,668950905,1135.84,1136.13,1066.79,1104.36,977729431,16.76,16.85,15.61,15.74,0,70.84,72.29,69.96,71.6
2026-05-29,8384.31,8476.15,8273.74,8476.15,735126775,1112.15,1112.15,1058.13,1074.8,855810608,15.81,15.88,15.22,15.32,0,71.96,75.27,71.95,74.26
